KT,Inst,Adr,Ort,Typ,RWStatus,Akt,SL,WB,AnzStand,SA,PtageStatT,AustStatT,NeugStatT,Ops,Gebs,CMIb,CMIn,pPatWAU,pPatWAK,pPatLKP,pPatHOK,PersA,PersP,PersMT,PersT,PersAFall,PersPFall,PersMTFall,PersTFall,AnzBelA,AnzBelP,AwBesold,AwInvest,AwSonst,AwT,EtMedL,EtSonst,EtSubv,FiErg,PtageStatA,AustStatA,BettenStatA,DADStatA,pBettenBelStatA,KostAmbA,KostOKPAmbA,KostStatA,KostKVGStatA,AnlKVGStatA,KostZvOKPStatA,AnlZvOKPStatA,KostLangA,AuftragLFA,ErlAmbA,ErlOKPAmbA,ErlStatA,ErlKVGStatA,ErlKVGStatVA,ErlZvOKPStatA,ErlZvOKPStatVA,ErlLangA,PtageStatP,AustStatP,BettenStatP,DADStatP,pBettenBelStatP,KostAmbP,KostOKPAmbP,KostStatP,KostKVGStatP,AnlKVGStatP,KostZvOKPStatP,AnlZvOKPStatP,KostLangP,AuftragLFP,ErlAmbP,ErlOKPAmbP,ErlStatP,ErlKVGStatP,ErlKVGStatVP,ErlZvOKPStatP,ErlZvOKPStatVP,ErlLangP,PtageStatR,AustStatR,BettenStatR,DADStatR,pBettenBelStatR,KostAmbR,KostOKPAmbR,KostStatR,KostKVGStatR,AnlKVGStatR,KostZvOKPStatR,AnlZvOKPStatR,KostLangR,AuftragLFR,ErlAmbR,ErlOKPAmbR,ErlStatR,ErlKVGStatR,ErlKVGStatVR,ErlZvOKPStatR,ErlZvOKPStatVR,ErlLangR,PtageStatB,AustStatB,BettenStatB,DADStatB,pBettenBelStatB,KostAmbB,KostOKPAmbB,KostStatB,KostKVGStatB,AnlKVGStatB,KostZvOKPStatB,AnlZvOKPStatB,KostLangB,AuftragLFB,ErlAmbB,ErlOKPAmbB,ErlStatB,ErlKVGStatB,ErlKVGStatVB,ErlZvOKPStatB,ErlZvOKPStatVB,ErlLangB
Aargau,Kantonsspital Aarau AG,Tellstrasse 15,5000 Aarau,K112,oeff,A,"NF, IPS","MSt, Arzt, BGs",1.0,"MRI, CT, PET, CC, LB, Lito",160689,24801.0,1131.0,14.0,5.0,1.022,1.07,0.6312,10.0061,15.9886,92.1901,473.2,1109.0,283.6,2715.0,1.9,4.5,1.1,11.0,15,0,297811318,52224839,139868831,489904988,313538849,26444044,148635723,-1286372,160689,24801,572,6.5,77,165739780,156623798,298746874,214139947,20514669,64702685,5821628,0,9632602,140106408,31518844,329685554,231354046,49.1,50957304,64.8,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
Aargau,Kantonsspital Baden AG,Im Ergel,5404 Baden,K112,oeff,A,"NF, IPS","MSt, Arzt, BGs",1.0,"MRI, CT, CC, Lito",101757,16527.0,1476.0,8.0,6.0,0.866,0.896,0.6256,3.6777,19.6345,93.1241,222.1,626.7,163.5,1455.5,1.3,3.8,1.0,8.8,37,0,145408802,28807604,72686459,251412062,156295714,7941990,80953062,-147915,101757,16527,355.6,6.2,78.4,63803006,60048897,175153130,123954161,17013291,33283853,4545020,0,0,66254187,62101244,171670310,86502141,59.9,23339285,44.5,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
Aargau,Hirslanden Klinik Aarau,Schänisweg 1,5000 Aarau,K122,priv,A,IPS,"MSt, Arzt, BGs",1.0,"MRI, CT, LB, Lito",46570,8447.0,724.0,7.0,2.0,0.963,0.937,0.5635,19.551,56.3394,95.492,10.9,163.4,155.5,464.0,0.1,1.9,1.8,5.5,132,1,48128487,25397288,38338752,112870924,107697287,5043475,3798978,4404386,46570,8447,142.6,5.5,89.5,20551068,0,73764604,0,0,0,0,0,0,19994304,0,82448250,3798978,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
Aargau,Gesundheitszentrum Fricktal,Riburgerstrasse 12,4310 Rheinfelden,K122,oeff,A,NF,"MSt, Arzt, BGs",2.0,"MRI, CT",36410,6613.0,349.0,6.0,3.0,0.76,0.763,3.0118,5.9763,21.0541,90.9362,56.0,224.2,46.2,437.4,0.9,3.4,0.7,6.6,24,0,48998527,2058773,14774622,65831922,39257317,2618230,23969590,13214,36410,6613,132,5.5,75.6,11902787,8382041,51053114,31989208,0,7956730,0,0,0,11594978,7978659,53302361,14059822,97.9,3634308,97.6,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
Aargau,Kreisspital für das Freiamt,Spitalstrasse 144,5630 Muri AG,K122,oeff,A,NF,"MSt, Arzt, BGs",1.0,CT,29014,6323.0,575.0,4.0,2.0,0.768,0.754,0.174,5.0116,15.2697,90.9368,51.4,182.9,38.7,368.5,0.8,2.9,0.6,5.8,13,0,40396921,3118244,21303449,64823939,37482910,3417190,23934115,23505,29014,6323,111,4.6,71.6,12016853,10600638,51879674,38345437,3848983,8080809,964353,0,0,10652871,9437939,49566342,33804463,47.3,6010147,52.6,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
Aargau,Spital Zofingen AG,Mühlethalstrasse 27,4800 Zofingen,K122,oeff,A,"NF, IPS","MSt, Arzt, BGs",1.0,"MRI, CT",24243,4829.0,279.0,3.0,2.0,0.837,0.825,0.3132,13.7471,15.1135,68.9507,41.6,185.2,44.6,363.1,0.9,3.8,0.9,7.5,26,0,33063734,967314,21046589,55077637,32380612,875388,17099049,-4939931,24243,4829,81,5,82,13054812,11117686,37518188,26880480,170277,4593184,28988,0,0,9550435,7915705,39295950,25975790,50.3,4422143,50.3,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
Aargau,Asana Gruppe AG Spital Menziken,Spitalstrasse 1,5737 Menziken,K123,oeff,A,NF,"MSt, BGs",1.0,,16604,3390.0,196.0,3.0,2.0,0.773,0.763,0.332,6.3021,13.5584,88.0465,23.4,70.6,35.4,214.2,0.7,2.1,1.0,6.3,13,0,17679162,1983219,10825637,30488018,17681805,589537,12227673,10997,16604,3390,57,4.9,79.8,0,0,0,0,0,0,0,0,0,8746055,0,21752960,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
Aargau,Asana Gruppe AG Spital Leuggern,Kommendeweg,5316 Leuggern,K123,oeff,A,NF,"MSt, Arzt, BGs",1.0,,12373,3642.0,527.0,2.0,2.0,0.721,0.699,7.0319,2.2867,15.4265,88.4165,12.9,66.1,9.5,127.7,0.4,1.8,0.3,3.5,48,4,12392392,1990123,10391678,24774193,16794374,393067,10680000,3093247,12373,3642,45,3.4,75.3,6389940,3449120,17512092,15912362,921401,0,0,0,0,3448904,3448904,17535975,15933074,47.3,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
Aargau,Psychiatrische Dienste Aargau AG ­ Psychiatrischer Dienst Königsfelden (PKF),,5200 Brugg AG,K211,oeff,P,NF,"Arzt, BGs",1.0,,123116,2461.0,0.0,0.0,0.0,NA,NA,0.4587,3.2967,3.7756,99.0473,48.4,210.5,11.0,552.2,2.0,8.6,0.5,22.4,0,0,58386703,11655762,15658617,85701082,32951686,4481314,48820415,-552333,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,123116,2461,364,50,92.7,0,0,64984319,64674220,3607301,2877844,29346,0,2886600,0,0,86253409,58245166,46,3554935,46,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
Aargau,Schützen Rheinfelden AG Klinik & Ambulatorium,Bahnhofstrasse 19,4310 Rheinfelden,K212,priv,P,,"Arzt, BGs",1.0,,29914,676.0,0.0,0.0,0.0,NA,NA,2.6525,57.0845,43.7666,99.4695,17.9,41.4,24.6,96.5,2.6,6.1,3.6,14.3,175,20,12826616,4356265,4288997,23312723,25646671,169923,0,2551663,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,29914,676,82,44.3,99.9,4312868,0,18999855,0,0,0,0,0,0,4061591,0,21755003,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
